dataset,mechanism,method,missing_rate_target_per_var,n_imputations,maxit_used,n_obs,n_reps,runtime_sec_mean,achieved_missing_overall_mean,achieved_missing_y,achieved_missing_x1,achieved_missing_x2,achieved_missing_x3,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.B],0.0,0.0722975839310048,0.099796299422073,0.3912014937345261,0.0722975839310048,,0.0881171227183261,0.998,0.2987834422682907
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.B],0.0,0.0725704137204989,0.0993832675484086,0.3895824087897621,0.0725704137204989,,0.0868362009213095,0.996,0.2984298994033218
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.C],0.0,0.0227620533623915,0.1042427205044026,0.4086314643772585,0.0227620533623915,,0.0520740895904881,1.0,0.2564591458090441
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.C],0.0,0.0226210330155056,0.1034157059966923,0.4053895675070341,0.0226210330155056,,0.0509200982466292,1.0,0.2497279809019434
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1,0.3,0.2920935792760568,0.0806344218480435,0.3160869336443306,-0.0079064207239431,-2.6354735746477087,0.0457955956560392,1.0,0.40547021925622
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1,0.3,0.292130261270166,0.0797142685632959,0.3124799327681201,-0.0078697387298339,-2.6232462432779977,0.044808440966511,1.0,0.3988760304469242
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.B],0.8,0.7907671307879331,0.1184811304230237,0.4644460312582528,-0.0092328692120669,-1.1541086515083656,0.0629368976061814,1.0,0.4901122483061358
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.B],0.8,0.7917154033267939,0.1170956897015106,0.4590151036299217,-0.0082845966732061,-1.035574584150773,0.0622500335123008,1.0,0.490247350061403
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.C],-0.8,-0.7666355928739096,0.1387359699201849,0.543845002087125,0.0333644071260904,-4.170550890761309,0.0889013883384734,0.988,0.5212270331057441
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.C],-0.8,-0.7665201274797323,0.1377790505068543,0.5400938779868689,0.0334798725202676,-4.184984065033461,0.0856449095796216,0.992,0.5264921623317373
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x2,0.3,0.2752065021215475,0.0458542578711383,0.1797486908548624,-0.0247934978784525,-8.264499292817506,0.0377933007350129,0.982,0.4238664902154111
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x2,0.3,0.2753384785059102,0.045422057513158,0.1780544654515793,-0.0246615214940898,-8.220507164696611,0.037032994031557,0.99,0.4245880518787411
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x3,0.2,0.1335360456118562,0.0461300284004295,0.1808297113296837,-0.0664639543881437,-33.23197719407187,0.0720550176602552,0.774,0.4309566211933969
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x3,0.2,0.1330842082415822,0.0457134960344562,0.1791969044550685,-0.0669157917584177,-33.45789587920886,0.0722242293234871,0.784,0.4318340136320116
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,z,0.25,0.1394108110192173,0.081480217742928,0.319402453552278,-0.1105891889807827,-44.2356755923131,0.1163681119686202,0.888,0.2663426591032087
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,z,0.25,0.13950427421607,0.0810289200668042,0.3176333666618726,-0.1104957257839299,-44.19829031357197,0.1159097069137494,0.9,0.2642536165123323
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.B],0.0,0.127558837011678,0.1251010111422702,0.4903959636776992,0.127558837011678,,0.1471223624940965,0.944,0.4701524845125837
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.B],0.0,0.1269924003939795,0.125813350394382,0.4931883335459774,0.1269924003939795,,0.1481053508009795,0.928,0.4651659230465115
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.C],0.0,0.0293417100779662,0.1280184003686749,0.5018321294452056,0.0293417100779662,,0.0771290389776107,0.996,0.419366410356211
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.C],0.0,0.0295094688673963,0.1289476748443419,0.5054748853898204,0.0295094688673963,,0.0813400280213146,0.992,0.4180775681024438
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1,0.3,0.2808011709417801,0.1065971812646208,0.4178609505573137,-0.0191988290582198,-6.399609686073274,0.0684045474472779,1.0,0.5909118560816494
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1,0.3,0.2817952530523882,0.1078603284944942,0.4228124876984172,-0.0182047469476117,-6.068248982537254,0.0701974704404902,0.998,0.5887188427796627
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.B],0.8,0.5624959181621887,0.1659745034392747,0.650620053481957,-0.2375040818378114,-29.688010229726423,0.2597077495578588,0.77,0.6875717697185364
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.B],0.8,0.5609040439686465,0.167336124046774,0.6559576062633542,-0.2390959560313536,-29.8869945039192,0.263610381430334,0.746,0.6802763904935761
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.C],-0.8,-0.5323240534209623,0.1852155216054398,0.726044844693324,0.2676759465790377,-33.459493322379714,0.2889120781955807,0.736,0.6786630496878513
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.C],-0.8,-0.5330143706802116,0.1873167555065241,0.7342816815855747,0.2669856293197882,-33.37320366497353,0.2895641144651513,0.742,0.6733128786370539
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x2,0.3,0.2603029333927022,0.0637558179031581,0.24992280618038,-0.0396970666072977,-13.232355535765915,0.0653431169237043,0.94,0.6488045114547681
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x2,0.3,0.2596657595481172,0.064711537950945,0.2536692287677046,-0.0403342404518828,-13.444746817294275,0.0666737333219228,0.928,0.6439207285115499
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x3,0.2,0.1358423167616189,0.0640417399833986,0.2510436207349226,-0.064157683238381,-32.07884161919051,0.0816959569120566,0.866,0.6508462511343482
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x3,0.2,0.1355192448645801,0.0644120767709694,0.2524953409422,-0.0644807551354198,-32.240377567709935,0.0825648809438657,0.828,0.6396528998359257
categorical_interaction,MAR_cross,cart,0.4,20,10,1000,500,9.006155957698821,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,z,0.25,0.1439984010053306,0.0983109854901865,0.3853790631215315,-0.1060015989946693,-42.40063959786775,0.1161031490112514,0.954,0.4111898746987709
categorical_interaction,MAR_cross,cart,0.4,10,10,1000,500,4.498145485401154,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,z,0.25,0.1420827020128316,0.0987582407231209,0.3871323036346341,-0.1079172979871683,-43.16691919486734,0.118376098149097,0.934,0.4078732092886533
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.B],0.0,0.0709888637470148,0.0962299402049428,0.3772213656033759,0.0709888637470148,,0.0883137235478235,0.992,0.2491407004566026
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.B],0.0,0.0710304585008047,0.0960552225572011,0.3765364724242285,0.0710304585008047,,0.0873743316510101,0.988,0.2505690072413232
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.C],0.0,0.019510444508445,0.1015480973661392,0.398068541675266,0.019510444508445,,0.0522313371844181,1.0,0.2193675663014941
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.C],0.0,0.0198551485836872,0.1011831027214983,0.3966377626682734,0.0198551485836872,,0.0518744898170646,1.0,0.2171724377123842
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1,0.3,0.2919581558967598,0.0761230431536349,0.2984023291622489,-0.0080418441032402,-2.680614701080076,0.0472228317328236,0.996,0.3439803774409593
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1,0.3,0.2921284433986121,0.0756498585402812,0.2965474454779025,-0.0078715566013878,-2.623852200462621,0.0453559359635971,0.998,0.3412247968989884
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.B],0.8,0.7950959473790303,0.1115322497654403,0.4372064190805262,-0.0049040526209698,-0.6130065776212272,0.0663746526827469,1.0,0.4281399209214546
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.B],0.8,0.7953878673105697,0.1108897466567798,0.434687806894577,-0.0046121326894303,-0.5765165861787993,0.0638266619035032,1.0,0.431823506858177
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.C],-0.8,-0.7746805009870515,0.1243729183713444,0.4875418400156703,0.0253194990129485,-3.1649373766185622,0.08794965379674,0.994,0.4231171104089294
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.C],-0.8,-0.7749051340853947,0.1230859061699743,0.4824967521862993,0.0250948659146053,-3.1368582393256674,0.0855584500473469,0.992,0.4175703531819715
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x2,0.3,0.2787304630375998,0.0449592713023538,0.176240343505227,-0.0212695369624002,-7.089845654133403,0.0359293712995387,0.99,0.4072438614431871
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x2,0.3,0.2786656642644386,0.044497168090383,0.1744288989143016,-0.0213343357355613,-7.111445245187127,0.035516474247585,0.992,0.4035291579368614
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x3,0.2,0.1392608169596344,0.0460205510748426,0.1804005602133832,-0.0607391830403655,-30.36959152018277,0.0675567890621305,0.832,0.4347718179430543
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x3,0.2,0.1390966330373224,0.0455173689277075,0.1784280861966136,-0.0609033669626776,-30.4516834813388,0.0672931853607109,0.824,0.4317846579405815
categorical_interaction,MAR_cross,rf,0.2,10,10,1000,500,42.014285017967225,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,z,0.25,0.1414417618384839,0.0801067847506575,0.3140185962225778,-0.108558238161516,-43.42329526460641,0.1154566472240809,0.876,0.2416623956025669
categorical_interaction,MAR_cross,rf,0.2,20,10,1000,500,83.6537614955902,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,z,0.25,0.1412533865459106,0.0798278847499263,0.3129253082197111,-0.1087466134540893,-43.49864538163576,0.1150655886202808,0.896,0.2409515319571174
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.B],0.0,0.13320818182747,0.1168369037615481,0.4580006627452685,0.13320818182747,,0.1538493290299764,0.898,0.3805881998782009
categorical_interaction,MAR_cross,rf,0.4,20,10,1000,500,104.6979301776886,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.B],0.0,0.1332191274982473,0.1159153018583666,0.454387983284797,0.1332191274982473,,0.152778606849737,0.904,0.3783683028138345
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.C],0.0,0.0293440384662697,0.1209521950581134,0.4741326046278046,0.0293440384662697,,0.0762218997274106,0.994,0.336295072981765
categorical_interaction,MAR_cross,rf,0.4,20,10,1000,500,104.6979301776886,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,C(cat)[T.C],0.0,0.0283676781546584,0.1200499478310076,0.4705957954975501,0.0283676781546584,,0.0755478505779036,0.994,0.3337630653801192
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1,0.3,0.27617153936486,0.0994304337902253,0.3897673004576831,-0.0238284606351399,-7.942820211713306,0.0750135072530258,0.98,0.5178890502090668
categorical_interaction,MAR_cross,rf,0.4,20,10,1000,500,104.6979301776886,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1,0.3,0.2777265638124496,0.0988474487971865,0.3874819992849714,-0.0222734361875503,-7.424478729183447,0.0718929550161992,0.994,0.5264388348209099
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.B],0.8,0.556332401448693,0.1545315713858559,0.6057637598325553,-0.243667598551307,-30.45844981891338,0.269275689231763,0.674,0.6291285593402391
categorical_interaction,MAR_cross,rf,0.4,20,10,1000,500,104.6979301776886,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.B],0.8,0.555472555196929,0.153958933838653,0.6035190206475199,-0.244527444803071,-30.56593060038388,0.2694793366703775,0.71,0.6372609567496895
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.C],-0.8,-0.5493516392581682,0.1604533218537333,0.6289770216666345,0.2506483607418317,-31.331045092728964,0.2755390792607309,0.68,0.5676392606250283
categorical_interaction,MAR_cross,rf,0.4,20,10,1000,500,104.6979301776886,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x1:C(cat)[T.C],-0.8,-0.5517632128271239,0.1597564820184287,0.6262454095122408,0.2482367871728762,-31.029598396609533,0.2713638782792519,0.7,0.5771156150038784
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x2,0.3,0.2629614800470799,0.0616199903099377,0.241550362014956,-0.0370385199529201,-12.346173317640034,0.0648442770616281,0.928,0.6071555296682772
categorical_interaction,MAR_cross,rf,0.4,20,10,1000,500,104.6979301776886,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x2,0.3,0.2633900448636531,0.0617186626845029,0.2419371577232516,-0.0366099551363468,-12.20331837878228,0.063870823988914,0.932,0.6238655050271548
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x3,0.2,0.1432009033565895,0.0636268325832059,0.2494171837261674,-0.0567990966434105,-28.39954832170525,0.0794943996207388,0.882,0.6309372301582962
categorical_interaction,MAR_cross,rf,0.4,20,10,1000,500,104.6979301776886,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,x3,0.2,0.1427953071461184,0.0631642311227129,0.2476037860010348,-0.0572046928538815,-28.602346426940787,0.0784962338841789,0.876,0.6386641328450463
categorical_interaction,MAR_cross,rf,0.4,10,10,1000,500,54.14907208442688,0.400231,0.3992799999999999,0.400274,0.40072,0.4006499999999999,z,0.25,0.1489722462856271,0.0962628174487163,0.3773502443989682,-0.1010277537143728,-40.411101485749136,0.1140706683610893,0.934,0.3695801291954266
